model,variableType,variable,alternative,units,latentClass,value
modeChoice,Path,longWalkDist,walk,util/sec,social,-5.58
modeChoice,Path,longWalkDist,walk,util/sec,othdiscr,-5.58
modeChoice,Path,longWalkDist,walk,util/sec,atwork,-5.58
modeChoice,Path,longWalkDist,walk,util/sec,Nonwork,-5.58
modeChoice,Path,longWalkDist,walk_transit,util/sec,work,0
modeChoice,Path,longWalkDist,walk_transit,util/sec,Work,0
modeChoice,Path,longWalkDist,walk_transit,util/sec,univ,0
modeChoice,Path,longWalkDist,walk_transit,util/sec,school,0
modeChoice,Path,longWalkDist,walk_transit,util/sec,escort,0
modeChoice,Path,longWalkDist,walk_transit,util/sec,shopping,0
modeChoice,Path,longWalkDist,walk_transit,util/sec,eatout,0
modeChoice,Path,longWalkDist,walk_transit,util/sec,othmaint,0
modeChoice,Path,longWalkDist,walk_transit,util/sec,social,0
modeChoice,Path,longWalkDist,walk_transit,util/sec,othdiscr,0
modeChoice,Path,longWalkDist,walk_transit,util/sec,atwork,0
modeChoice,Path,longWalkDist,walk_transit,util/sec,Nonwork,0
modeChoice,Path,shortBikeDist,bike,util/sec,work,-0.44
modeChoice,Path,shortBikeDist,bike,util/sec,Work,-0.44
modeChoice,Path,shortBikeDist,bike,util/sec,univ,-0.542
modeChoice,Path,shortBikeDist,bike,util/sec,school,-0.542
modeChoice,Path,shortBikeDist,bike,util/sec,escort,-0.558
modeChoice,Path,shortBikeDist,bike,util/sec,shopping,-0.558
modeChoice,Path,shortBikeDist,bike,util/sec,eatout,-0.558
modeChoice,Path,shortBikeDist,bike,util/sec,othmaint,-0.558
modeChoice,Path,shortBikeDist,bike,util/sec,social,-0.558
modeChoice,Path,shortBikeDist,bike,util/sec,othdiscr,-0.558
modeChoice,Path,shortBikeDist,bike,util/sec,atwork,-0.558
modeChoice,Path,shortBikeDist,bike,util/sec,Nonwork,-0.558
modeChoice,Path,shortBikeDist,car,util/sec,work,0
modeChoice,Path,shortBikeDist,car,util/sec,Work,0
modeChoice,Path,shortBikeDist,car,util/sec,univ,0
modeChoice,Path,shortBikeDist,car,util/sec,school,0
modeChoice,Path,shortBikeDist,car,util/sec,escort,0
modeChoice,Path,shortBikeDist,car,util/sec,shopping,0
modeChoice,Path,shortBikeDist,car,util/sec,eatout,0
modeChoice,Path,shortBikeDist,car,util/sec,othmaint,0
modeChoice,Path,shortBikeDist,car,util/sec,social,0
modeChoice,Path,shortBikeDist,car,util/sec,othdiscr,0
modeChoice,Path,shortBikeDist,car,util/sec,atwork,0
modeChoice,Path,shortBikeDist,car,util/sec,Nonwork,0
modeChoice,Path,shortBikeDist,drive_transit,util/sec,work,0
modeChoice,Path,shortBikeDist,drive_transit,util/sec,Work,0
modeChoice,Path,shortBikeDist,drive_transit,util/sec,univ,0
modeChoice,Path,shortBikeDist,drive_transit,util/sec,school,0
modeChoice,Path,shortBikeDist,drive_transit,util/sec,escort,0
modeChoice,Path,shortBikeDist,drive_transit,util/sec,shopping,0
modeChoice,Path,shortBikeDist,drive_transit,util/sec,eatout,0
modeChoice,Path,shortBikeDist,drive_transit,util/sec,othmaint,0
modeChoice,Path,shortBikeDist,drive_transit,util/sec,social,0
modeChoice,Path,shortBikeDist,drive_transit,util/sec,othdiscr,0
modeChoice,Path,shortBikeDist,drive_transit,util/sec,atwork,0
modeChoice,Path,shortBikeDist,drive_transit,util/sec,Nonwork,0
modeChoice,Path,shortBikeDist,ride_hail,util/sec,work,0
modeChoice,Path,shortBikeDist,ride_hail,util/sec,Work,0
modeChoice,Path,shortBikeDist,ride_hail,util/sec,univ,0
modeChoice,Path,shortBikeDist,ride_hail,util/sec,school,0
modeChoice,Path,shortBikeDist,ride_hail,util/sec,escort,0
modeChoice,Path,shortBikeDist,ride_hail,util/sec,shopping,0
modeChoice,Path,shortBikeDist,ride_hail,util/sec,eatout,0
modeChoice,Path,shortBikeDist,ride_hail,util/sec,othmaint,0
modeChoice,Path,shortBikeDist,ride_hail,util/sec,social,0
modeChoice,Path,shortBikeDist,ride_hail,util/sec,othdiscr,0
modeChoice,Path,shortBikeDist,ride_hail,util/sec,atwork,0
modeChoice,Path,shortBikeDist,ride_hail,util/sec,Nonwork,0
modeChoice,Path,shortBikeDist,walk,util/sec,work,0
modeChoice,Path,shortBikeDist,walk,util/sec,Work,0
modeChoice,Path,shortBikeDist,walk,util/sec,univ,0
modeChoice,Path,shortBikeDist,walk,util/sec,school,0
modeChoice,Path,shortBikeDist,walk,util/sec,escort,0
modeChoice,Path,shortBikeDist,walk,util/sec,shopping,0
modeChoice,Path,shortBikeDist,walk,util/sec,eatout,0
modeChoice,Path,shortBikeDist,walk,util/sec,othmaint,0
modeChoice,Path,shortBikeDist,walk,util/sec,social,0
modeChoice,Path,shortBikeDist,walk,util/sec,othdiscr,0
modeChoice,Path,shortBikeDist,walk,util/sec,atwork,0
modeChoice,Path,shortBikeDist,walk,util/sec,Nonwork,0
modeChoice,Path,shortBikeDist,walk_transit,util/sec,work,0
modeChoice,Path,shortBikeDist,walk_transit,util/sec,Work,0
modeChoice,Path,shortBikeDist,walk_transit,util/sec,univ,0
modeChoice,Path,shortBikeDist,walk_transit,util/sec,school,0
modeChoice,Path,shortBikeDist,walk_transit,util/sec,escort,0
modeChoice,Path,shortBikeDist,walk_transit,util/sec,shopping,0
modeChoice,Path,shortBikeDist,walk_transit,util/sec,eatout,0
modeChoice,Path,shortBikeDist,walk_transit,util/sec,othmaint,0
modeChoice,Path,shortBikeDist,walk_transit,util/sec,social,0
modeChoice,Path,shortBikeDist,walk_transit,util/sec,othdiscr,0
modeChoice,Path,shortBikeDist,walk_transit,util/sec,atwork,0
modeChoice,Path,shortBikeDist,walk_transit,util/sec,Nonwork,0
modeChoice,Path,longBikeDist,bike,util/sec,work,-2.2
modeChoice,Path,longBikeDist,bike,util/sec,Work,-2.2
modeChoice,Path,longBikeDist,bike,util/sec,univ,-2.71
modeChoice,Path,longBikeDist,bike,util/sec,school,-2.71
modeChoice,Path,longBikeDist,bike,util/sec,escort,-2.79
modeChoice,Path,longBikeDist,bike,util/sec,shopping,-2.79
modeChoice,Path,longBikeDist,bike,util/sec,eatout,-2.79
modeChoice,Path,longBikeDist,bike,util/sec,othmaint,-2.79
modeChoice,Path,longBikeDist,bike,util/sec,social,-2.79
