iteration,primary_purpose,autoWorkRatio,mode,tripTotals,tripPercents
2,atwork,auto_sufficient,walk_transit,967,3.764110548851693
2,atwork,no_auto,bike,235,3.576864535768645
2,atwork,no_auto,bike_transit,117,1.7808219178082192
2,atwork,no_auto,hov2,1436,21.856925418569254
2,atwork,no_auto,hov3,460,7.00152207001522
2,atwork,no_auto,ride_hail,12,0.182648401826484
2,atwork,no_auto,ride_hail_pooled,2,0.030441400304414005
2,atwork,no_auto,walk,1856,28.249619482496197
2,atwork,no_auto,walk_transit,2452,37.32115677321157
2,eatout,auto_deficient,bike,88,7.394957983193278
2,eatout,auto_deficient,bike_transit,26,2.1848739495798317
2,eatout,auto_deficient,car,346,29.075630252100844
2,eatout,auto_deficient,drive_transit,6,0.5042016806722689
2,eatout,auto_deficient,hov2,139,11.680672268907562
2,eatout,auto_deficient,hov3,141,11.848739495798318
2,eatout,auto_deficient,ride_hail,8,0.6722689075630253
2,eatout,auto_deficient,walk,348,29.2436974789916
2,eatout,auto_deficient,walk_transit,88,7.394957983193278
2,eatout,auto_sufficient,bike,472,2.7314814814814814
2,eatout,auto_sufficient,bike_transit,174,1.0069444444444444
2,eatout,auto_sufficient,car,8902,51.5162037037037
2,eatout,auto_sufficient,drive_transit,10,0.057870370370370364
2,eatout,auto_sufficient,hov2,1621,9.380787037037038
2,eatout,auto_sufficient,hov3,3139,18.16550925925926
2,eatout,auto_sufficient,ride_hail,69,0.3993055555555555
2,eatout,auto_sufficient,ride_hail_pooled,11,0.06365740740740741
2,eatout,auto_sufficient,walk,2381,13.778935185185185
2,eatout,auto_sufficient,walk_transit,501,2.899305555555556
2,eatout,no_auto,bike,223,3.6871693121693125
2,eatout,no_auto,bike_transit,207,3.422619047619048
2,eatout,no_auto,hov2,980,16.203703703703702
2,eatout,no_auto,hov3,233,3.8525132275132274
2,eatout,no_auto,ride_hail,19,0.31415343915343913
2,eatout,no_auto,ride_hail_pooled,11,0.18187830687830686
2,eatout,no_auto,walk,2198,36.342592592592595
2,eatout,no_auto,walk_transit,2177,35.995370370370374
2,escort,auto_deficient,bike,93,4.2837402118839245
2,escort,auto_deficient,bike_transit,35,1.612160294795025
2,escort,auto_deficient,car,796,36.665131275909715
2,escort,auto_deficient,drive_transit,1,0.046061722708429294
2,escort,auto_deficient,hov2,194,8.935974205435283
2,escort,auto_deficient,hov3,262,12.068171349608475
2,escort,auto_deficient,ride_hail,34,1.5660985720865959
2,escort,auto_deficient,ride_hail_pooled,2,0.09212344541685859
2,escort,auto_deficient,walk,612,28.189774297558728
2,escort,auto_deficient,walk_transit,142,6.54076462459696
2,escort,auto_sufficient,bike,1118,2.8531325762409083
2,escort,auto_sufficient,bike_transit,311,0.7936710475947428
2,escort,auto_sufficient,car,18980,48.436901875717744
2,escort,auto_sufficient,drive_transit,15,0.03827995406405512
2,escort,auto_sufficient,hov2,4193,10.700523159372208
2,escort,auto_sufficient,hov3,6501,16.59053209136149
2,escort,auto_sufficient,ride_hail,147,0.3751435498277402
2,escort,auto_sufficient,ride_hail_pooled,24,0.0612479265024882
2,escort,auto_sufficient,ride_hail_transit,1,0.0025519969376036748
2,escort,auto_sufficient,walk,6469,16.50886818935817
2,escort,auto_sufficient,walk_transit,1426,3.6391476330228407
2,escort,no_auto,bike,89,7.085987261146497
2,escort,no_auto,bike_transit,44,3.5031847133757963
2,escort,no_auto,hov2,161,12.818471337579618
2,escort,no_auto,hov3,67,5.334394904458599
2,escort,no_auto,ride_hail,1,0.07961783439490447
2,escort,no_auto,ride_hail_pooled,35,2.786624203821656
2,escort,no_auto,walk,547,43.55095541401274
2,escort,no_auto,walk_transit,312,24.840764331210192
2,othdiscr,auto_deficient,bike,152,6.3892391761244225
2,othdiscr,auto_deficient,bike_transit,51,2.1437578814627996
2,othdiscr,auto_deficient,car,637,26.775956284153008
2,othdiscr,auto_deficient,hov2,234,9.836065573770492
2,othdiscr,auto_deficient,hov3,294,12.35813366960908
2,othdiscr,auto_deficient,ride_hail,15,0.6305170239596469
2,othdiscr,auto_deficient,ride_hail_pooled,1,0.04203446826397646
2,othdiscr,auto_deficient,walk,787,33.081126523749475
2,othdiscr,auto_deficient,walk_transit,208,8.743169398907105
2,othdiscr,auto_sufficient,bike,1110,2.667051106465797
2,othdiscr,auto_sufficient,bike_transit,327,0.7856988394723563
2,othdiscr,auto_sufficient,car,21333,51.257838967779136
2,othdiscr,auto_sufficient,drive_transit,17,0.04084672865758428
2,othdiscr,auto_sufficient,hov2,4524,10.870035320406544
2,othdiscr,auto_sufficient,hov3,6757,16.235373267017465
2,othdiscr,auto_sufficient,ride_hail,111,0.2667051106465797
2,othdiscr,auto_sufficient,ride_hail_pooled,27,0.06487421610322208
2,othdiscr,auto_sufficient,ride_hail_transit,1,0.002402748744563781
2,othdiscr,auto_sufficient,walk,6177,14.841778995170474
2,othdiscr,auto_sufficient,walk_transit,1235,2.9673946995362694
2,othdiscr,no_auto,bike,529,4.260974627466775
2,othdiscr,no_auto,bike_transit,606,4.881192106322996
2,othdiscr,no_auto,hov2,2137,17.21304873137334
2,othdiscr,no_auto,hov3,609,4.905356423681031
2,othdiscr,no_auto,ride_hail,118,0.950463149416029
